Country,Related JobCategory,Level1,Level2,projects,percent
China,53,Design & Multimedia,Audio Production,12,0.000805099
China,54,Design & Multimedia,Video Production,47,0.0031533043
China,55,Design & Multimedia,Voice Talent,18,0.0012076484
China,56,Design & Multimedia,Animation,35,0.0023482053
China,57,Design & Multimedia,Other - Design & Multimedia,45,0.0030191211
China,58,Writing & Translation,Translation,1097,0.0735994633
China,59,Networking & Information Systems,ERP / CRM Implementation,3,0.0002012747
China,60,Design & Multimedia,Presentations,11,0.0007380074
China,61,Design & Multimedia,Engineering & Technical Design,14,0.0009392821
China,62,Writing & Translation,Creative Writing,38,0.00254948
China,63,Administrative Support,Transcription,27,0.0018114727
China,64,Customer Service,Customer Service & Support,25,0.0016772895
China,65,Customer Service,Technical Support,16,0.0010734653
China,67,Customer Service,Other - Customer Service,30,0.0020127474
China,68,Sales & Marketing,Advertising,15,0.0010063737
China,69,Sales & Marketing,Email Marketing,15,0.0010063737
China,70,Sales & Marketing,SEM - Search Engine Marketing,16,0.0010734653
China,71,Sales & Marketing,SMM - Social Media Marketing,28,0.0018785642
China,72,Sales & Marketing,PR - Public Relations,12,0.000805099
China,73,Sales & Marketing,Telemarketing & Telesales,19,0.00127474
China,74,Sales & Marketing,Market Research & Surveys,167,0.0112042939
China,75,Sales & Marketing,Sales & Lead Generation,67,0.0044951359
China,76,Sales & Marketing,Other - Sales & Marketing,69,0.004629319
China,77,Business Services,Accounting,8,0.0005367326
China,78,Business Services,HR / Payroll,2,0.0001341832
China,79,Business Services,Financial Services & Planning,3,0.0002012747
China,81,Business Services,Legal,4,0.0002683663
China,82,Business Services,Project Management,38,0.00254948
China,83,Business Services,Business Consulting,42,0.0028178464
China,84,Business Services,Recruiting,15,0.0010063737
China,85,Business Services,Statistical Analysis,8,0.0005367326
China,86,Business Services,Other - Business Services,149,0.0099966454
China,87,Customer Service,Order Processing,6,0.0004025495
China,88,Sales & Marketing,SEO - Search Engine Optimization,53,0.0035558537
China,89,Sales & Marketing,Business Plans & Marketing Strategy,10,0.0006709158
China,90,Business Services,Bookkeeping,10,0.0006709158
Christmas Island,8,Web Development,Web Design,2,0.6666666667
Christmas Island,9,Web Development,Web Programming,1,0.3333333333
Colombia,8,Web Development,Web Design,140,0.0624164066
Colombia,9,Web Development,Web Programming,549,0.2447614802
Colombia,11,Web Development,Ecommerce,9,0.0040124833
Colombia,13,Web Development,UI Design,11,0.0049041462
Colombia,15,Web Development,Website QA,7,0.0031208203
Colombia,16,Web Development,Website Project Management,10,0.0044583148
Colombia,17,Web Development,Other - Web Development,68,0.0303165403
Colombia,18,Software Development,Desktop Applications,72,0.0320998663
Colombia,19,Software Development,Client-Server Applications,18,0.0080249666
Colombia,20,Software Development,Game Development,7,0.0031208203
Colombia,21,Software Development,Scripts & Utilities,39,0.0173874276
Colombia,22,Software Development,Software Plug-ins,10,0.0044583148
Colombia,23,Software Development,Mobile Apps,61,0.02719572
Colombia,24,Software Development,Application Interface Design,6,0.0026749889
Colombia,25,Software Development,Software Project Management,25,0.0111457869
Colombia,26,Software Development,Software QA,5,0.0022291574
Colombia,27,Software Development,VOIP,4,0.0017833259
Colombia,28,Software Development,Other - Software Development,111,0.0494872938
Colombia,29,Networking & Information Systems,Network Administration,17,0.0075791351
Colombia,31,Networking & Information Systems,DBA - Database Administration,3,0.0013374944
Colombia,32,Networking & Information Systems,Server Administration,18,0.0080249666
Colombia,33,Networking & Information Systems,Other - Networking & Information Systems,18,0.0080249666
Colombia,34,Writing & Translation,Technical Writing,24,0.0106999554
Colombia,35,Writing & Translation,Website Content,63,0.028087383
Colombia,37,Writing & Translation,Blog & Article Writing,66,0.0294248774
Colombia,38,Writing & Translation,Copywriting,7,0.0031208203
Colombia,39,Writing & Translation,Other - Writing & Translation,51,0.0227374053
Colombia,40,Administrative Support,Data Entry,88,0.0392331699
Colombia,41,Administrative Support,Personal Assistant,32,0.0142666072
Colombia,42,Administrative Support,Web Research,44,0.0196165849
Colombia,43,Administrative Support,Email Response Handling,2,0.000891663
Colombia,46,Administrative Support,Other - Administrative Support,32,0.0142666072
Colombia,47,Design & Multimedia,Graphic Design,79,0.0352206866
Colombia,48,Design & Multimedia,Logo Design,27,0.0120374498
Colombia,49,Design & Multimedia,Illustration,19,0.008470798
Colombia,50,Design & Multimedia,Print Design,18,0.0080249666
Colombia,51,Design & Multimedia,3D Modeling & CAD,26,0.0115916184
Colombia,53,Design & Multimedia,Audio Production,7,0.0031208203
Colombia,54,Design & Multimedia,Video Production,26,0.0115916184
Colombia,55,Design & Multimedia,Voice Talent,4,0.0017833259
Colombia,56,Design & Multimedia,Animation,23,0.0102541239
Colombia,57,Design & Multimedia,Other - Design & Multimedia,35,0.0156041016
Colombia,58,Writing & Translation,Translation,83,0.0370040125
Colombia,59,Networking & Information Systems,ERP / CRM Implementation,1,0.0004458315
Colombia,60,Design & Multimedia,Presentations,7,0.0031208203
Colombia,61,Design & Multimedia,Engineering & Technical Design,16,0.0071333036
Colombia,62,Writing & Translation,Creative Writing,10,0.0044583148
Colombia,63,Administrative Support,Transcription,17,0.0075791351
Colombia,64,Customer Service,Customer Service & Support,25,0.0111457869
Colombia,65,Customer Service,Technical Support,14,0.0062416407
Colombia,66,Customer Service,Phone Support,2,0.000891663
Colombia,67,Customer Service,Other - Customer Service,7,0.0031208203
Colombia,68,Sales & Marketing,Advertising,2,0.000891663
Colombia,69,Sales & Marketing,Email Marketing,4,0.0017833259
Colombia,70,Sales & Marketing,SEM - Search Engine Marketing,5,0.0022291574
Colombia,71,Sales & Marketing,SMM - Social Media Marketing,4,0.0017833259
Colombia,72,Sales & Marketing,PR - Public Relations,1,0.0004458315
Colombia,73,Sales & Marketing,Telemarketing & Telesales,43,0.0191707535
Colombia,74,Sales & Marketing,Market Research & Surveys,9,0.0040124833
Colombia,75,Sales & Marketing,Sales & Lead Generation,24,0.0106999554
Colombia,76,Sales & Marketing,Other - Sales & Marketing,20,0.0089166295
Colombia,79,Business Services,Financial Services & Planning,3,0.0013374944
Colombia,81,Business Services,Legal,3,0.0013374944
Colombia,82,Business Services,Project Management,5,0.0022291574
Colombia,83,Business Services,Business Consulting,7,0.0031208203
Colombia,84,Business Services,Recruiting,1,0.0004458315
Colombia,85,Business Services,Statistical Analysis,2,0.000891663
Colombia,86,Business Services,Other - Business Services,13,0.0057958092
Colombia,87,Customer Service,Order Processing,8,0.0035666518
Colombia,88,Sales & Marketing,SEO - Search Engine Optimization,13,0.0057958092
Colombia,89,Sales & Marketing,Business Plans & Marketing Strategy,7,0.0031208203
Congo,8,Web Development,Web Design,3,1
"Congo, the Democratic Republic of the",8,Web Development,Web Design,2,0.6666666667
"Congo, the Democratic Republic of the",75,Sales & Marketing,Sales & Lead Generation,1,0.3333333333
Costa Rica,8,Web Development,Web Design,28,0.0696517413
Costa Rica,9,Web Development,Web Programming,44,0.1094527363
Costa Rica,11,Web Development,Ecommerce,3,0.0074626866
Costa Rica,13,Web Development,UI Design,2,0.0049751244
Costa Rica,15,Web Development,Website QA,6,0.0149253731
Costa Rica,16,Web Development,Website Project Management,6,0.0149253731
Costa Rica,17,Web Development,Other - Web Development,5,0.0124378109
Costa Rica,18,Software Development,Desktop Applications,14,0.0348258706
Costa Rica,25,Software Development,Software Project Management,9,0.0223880597
Costa Rica,27,Software Development,VOIP,3,0.0074626866
Costa Rica,28,Software Development,Other - Software Development,15,0.0373134328
Costa Rica,29,Networking & Information Systems,Network Administration,2,0.0049751244
Costa Rica,31,Networking & Information Systems,DBA - Database Administration,1,0.0024875622
Costa Rica,32,Networking & Information Systems,Server Administration,3,0.0074626866
Costa Rica,33,Networking & Information Systems,Other - Networking & Information Systems,1,0.0024875622
Costa Rica,34,Writing & Translation,Technical Writing,8,0.0199004975
Costa Rica,35,Writing & Translation,Website Content,15,0.0373134328
Costa Rica,37,Writing & Translation,Blog & Article Writing,28,0.0696517413
Costa Rica,38,Writing & Translation,Copywriting,6,0.0149253731
Costa Rica,39,Writing & Translation,Other - Writing & Translation,5,0.0124378109
Costa Rica,40,Administrative Support,Data Entry,5,0.0124378109
Costa Rica,41,Administrative Support,Personal Assistant,9,0.0223880597
Costa Rica,42,Administrative Support,Web Research,12,0.0298507463
Costa Rica,43,Administrative Support,Email Response Handling,1,0.0024875622
Costa Rica,46,Administrative Support,Other - Administrative Support,10,0.0248756219
Costa Rica,47,Design & Multimedia,Graphic Design,34,0.0845771144
Costa Rica,49,Design & Multimedia,Illustration,5,0.0124378109
Costa Rica,50,Design & Multimedia,Print Design,1,0.0024875622
Costa Rica,53,Design & Multimedia,Audio Production,3,0.0074626866
Costa Rica,54,Design & Multimedia,Video Production,4,0.0099502488
Costa Rica,55,Design & Multimedia,Voice Talent,1,0.0024875622
Costa Rica,57,Design & Multimedia,Other - Design & Multimedia,2,0.0049751244
Costa Rica,58,Writing & Translation,Translation,36,0.0895522388
Costa Rica,62,Writing & Translation,Creative Writing,5,0.0124378109
Costa Rica,63,Administrative Support,Transcription,2,0.0049751244
Costa Rica,64,Customer Service,Customer Service & Support,10,0.0248756219
Costa Rica,65,Customer Service,Technical Support,2,0.0049751244
Costa Rica,66,Customer Service,Phone Support,2,0.0049751244
Costa Rica,67,Customer Service,Other - Customer Service,5,0.0124378109
Costa Rica,69,Sales & Marketing,Email Marketing,1,0.0024875622
Costa Rica,71,Sales & Marketing,SMM - Social Media Marketing,16,0.039800995
Costa Rica,73,Sales & Marketing,Telemarketing & Telesales,1,0.0024875622
Costa Rica,74,Sales & Marketing,Market Research & Surveys,1,0.0024875622
Costa Rica,75,Sales & Marketing,Sales & Lead Generation,4,0.0099502488
Costa Rica,76,Sales & Marketing,Other - Sales & Marketing,9,0.0223880597
Costa Rica,82,Business Services,Project Management,1,0.0024875622
Costa Rica,84,Business Services,Recruiting,5,0.0124378109
Costa Rica,86,Business Services,Other - Business Services,4,0.0099502488
Costa Rica,87,Customer Service,Order Processing,1,0.0024875622
Costa Rica,88,Sales & Marketing,SEO - Search Engine Optimization,3,0.0074626866
Costa Rica,89,Sales & Marketing,Business Plans & Marketing Strategy,3,0.0074626866
Cote d'Ivoire,8,Web Development,Web Design,3,0.0447761194
Cote d'Ivoire,9,Web Development,Web Programming,4,0.0597014925
Cote d'Ivoire,16,Web Development,Website Project Management,1,0.0149253731
Cote d'Ivoire,17,Web Development,Other - Web Development,1,0.0149253731
Cote d'Ivoire,25,Software Development,Software Project Management,4,0.0597014925
Cote d'Ivoire,32,Networking & Information Systems,Server Administration,1,0.0149253731
Cote d'Ivoire,34,Writing & Translation,Technical Writing,1,0.0149253731
Cote d'Ivoire,35,Writing & Translation,Website Content,6,0.0895522388
Cote d'Ivoire,37,Writing & Translation,Blog & Article Writing,8,0.1194029851
Cote d'Ivoire,38,Writing & Translation,Copywriting,2,0.0298507463
Cote d'Ivoire,39,Writing & Translation,Other - Writing & Translation,5,0.0746268657
Cote d'Ivoire,40,Administrative Support,Data Entry,1,0.0149253731
Cote d'Ivoire,41,Administrative Support,Personal Assistant,1,0.0149253731
Cote d'Ivoire,42,Administrative Support,Web Research,5,0.0746268657
Cote d'Ivoire,46,Administrative Support,Other - Administrative Support,2,0.0298507463
Cote d'Ivoire,47,Design & Multimedia,Graphic Design,1,0.0149253731
Cote d'Ivoire,58,Writing & Translation,Translation,2,0.0298507463
Cote d'Ivoire,64,Customer Service,Customer Service & Support,2,0.0298507463
Cote d'Ivoire,66,Customer Service,Phone Support,1,0.0149253731
Cote d'Ivoire,67,Customer Service,Other - Customer Service,1,0.0149253731
Cote d'Ivoire,68,Sales & Marketing,Advertising,1,0.0149253731
Cote d'Ivoire,76,Sales & Marketing,Other - Sales & Marketing,6,0.0895522388
Cote d'Ivoire,82,Business Services,Project Management,3,0.0447761194
Cote d'Ivoire,84,Business Services,Recruiting,2,0.0298507463
Cote d'Ivoire,87,Customer Service,Order Processing,1,0.0149253731
Cote d'Ivoire,88,Sales & Marketing,SEO - Search Engine Optimization,2,0.0298507463
Croatia,8,Web Development,Web Design,211,0.0844675741
Croatia,9,Web Development,Web Programming,491,0.1965572458
Croatia,11,Web Development,Ecommerce,39,0.01561249
Croatia,13,Web Development,UI Design,30,0.0120096077
Croatia,15,Web Development,Website QA,13,0.0052041633
Croatia,16,Web Development,Website Project Management,15,0.0060048038
Croatia,17,Web Development,Other - Web Development,75,0.0300240192
Croatia,18,Software Development,Desktop Applications,55,0.0220176141
Croatia,19,Software Development,Client-Server Applications,3,0.0012009608
Croatia,20,Software Development,Game Development,26,0.0104083267
Croatia,21,Software Development,Scripts & Utilities,54,0.0216172938
Croatia,22,Software Development,Software Plug-ins,11,0.0044035228
Croatia,23,Software Development,Mobile Apps,55,0.0220176141
Croatia,24,Software Development,Application Interface Design,3,0.0012009608
Croatia,25,Software Development,Software Project Management,6,0.0024019215
Croatia,26,Software Development,Software QA,7,0.0028022418
Croatia,27,Software Development,VOIP,2,0.0008006405
Croatia,28,Software Development,Other - Software Development,45,0.0180144115
Croatia,29,Networking & Information Systems,Network Administration,10,0.0040032026
Croatia,31,Networking & Information Systems,DBA - Database Administration,3,0.0012009608
Croatia,32,Networking & Information Systems,Server Administration,9,0.0036028823
Croatia,33,Networking & Information Systems,Other - Networking & Information Systems,11,0.0044035228
Croatia,34,Writing & Translation,Technical Writing,18,0.0072057646
Croatia,35,Writing & Translation,Website Content,53,0.0212169736
Croatia,37,Writing & Translation,Blog & Article Writing,79,0.0316253002
Croatia,38,Writing & Translation,Copywriting,4,0.001601281
Croatia,39,Writing & Translation,Other - Writing & Translation,32,0.0128102482
Croatia,40,Administrative Support,Data Entry,87,0.0348278623
Croatia,41,Administrative Support,Personal Assistant,17,0.0068054444
Croatia,42,Administrative Support,Web Research,126,0.0504403523
Croatia,43,Administrative Support,Email Response Handling,1,0.0004003203
Croatia,46,Administrative Support,Other - Administrative Support,15,0.0060048038
Croatia,47,Design & Multimedia,Graphic Design,243,0.0972778223
Croatia,48,Design & Multimedia,Logo Design,53,0.0212169736
Croatia,49,Design & Multimedia,Illustration,69,0.0276220977
Croatia,50,Design & Multimedia,Print Design,49,0.0196156926
Croatia,51,Design & Multimedia,3D Modeling & CAD,11,0.0044035228
Croatia,53,Design & Multimedia,Audio Production,22,0.0088070456
Croatia,54,Design & Multimedia,Video Production,79,0.0316253002
Croatia,55,Design & Multimedia,Voice Talent,4,0.001601281
Croatia,56,Design & Multimedia,Animation,6,0.0024019215
Croatia,57,Design & Multimedia,Other - Design & Multimedia,41,0.0164131305
Croatia,58,Writing & Translation,Translation,78,0.03122498
Croatia,60,Design & Multimedia,Presentations,9,0.0036028823
Croatia,61,Design & Multimedia,Engineering & Technical Design,2,0.0008006405
Croatia,62,Writing & Translation,Creative Writing,17,0.0068054444
Croatia,63,Administrative Support,Transcription,2,0.0008006405
Croatia,64,Customer Service,Customer Service & Support,15,0.0060048038
Croatia,65,Customer Service,Technical Support,5,0.0020016013
Croatia,67,Customer Service,Other - Customer Service,4,0.001601281
Croatia,68,Sales & Marketing,Advertising,7,0.0028022418
Croatia,69,Sales & Marketing,Email Marketing,1,0.0004003203
Croatia,70,Sales & Marketing,SEM - Search Engine Marketing,36,0.0144115292
Croatia,71,Sales & Marketing,SMM - Social Media Marketing,14,0.0056044836
Croatia,72,Sales & Marketing,PR - Public Relations,2,0.0008006405
Croatia,73,Sales & Marketing,Telemarketing & Telesales,1,0.0004003203
Croatia,74,Sales & Marketing,Market Research & Surveys,3,0.0012009608
Croatia,75,Sales & Marketing,Sales & Lead Generation,11,0.0044035228
Croatia,76,Sales & Marketing,Other - Sales & Marketing,24,0.0096076861
Croatia,78,Business Services,HR / Payroll,1,0.0004003203
Croatia,80,Business Services,Payment Processing,1,0.0004003203
Croatia,82,Business Services,Project Management,10,0.0040032026
Croatia,83,Business Services,Business Consulting,2,0.0008006405
Croatia,84,Business Services,Recruiting,1,0.0004003203
Croatia,85,Business Services,Statistical Analysis,3,0.0012009608
Croatia,86,Business Services,Other - Business Services,16,0.0064051241
Croatia,87,Customer Service,Order Processing,4,0.001601281
Croatia,88,Sales & Marketing,SEO - Search Engine Optimization,29,0.0116092874
Croatia,89,Sales & Marketing,Business Plans & Marketing Strategy,7,0.0028022418
Croatia,90,Business Services,Bookkeeping,3,0.0012009608
Cyprus,8,Web Development,Web Design,13,0.0451388889
Cyprus,9,Web Development,Web Programming,71,0.2465277778
Cyprus,13,Web Development,UI Design,7,0.0243055556
Cyprus,16,Web Development,Website Project Management,2,0.0069444444
Cyprus,17,Web Development,Other - Web Development,3,0.0104166667
Cyprus,18,Software Development,Desktop Applications,5,0.0173611111
Cyprus,20,Software Development,Game Development,5,0.0173611111
Cyprus,21,Software Development,Scripts & Utilities,4,0.0138888889
Cyprus,22,Software Development,Software Plug-ins,1,0.0034722222
Cyprus,25,Software Development,Software Project Management,3,0.0104166667
Cyprus,28,Software Development,Other - Software Development,28,0.0972222222
Cyprus,29,Networking & Information Systems,Network Administration,4,0.0138888889
Cyprus,31,Networking & Information Systems,DBA - Database Administration,1,0.0034722222
Cyprus,32,Networking & Information Systems,Server Administration,6,0.0208333333
Cyprus,33,Networking & Information Systems,Other - Networking & Information Systems,1,0.0034722222
Cyprus,35,Writing & Translation,Website Content,6,0.0208333333
Cyprus,37,Writing & Translation,Blog & Article Writing,2,0.0069444444
Cyprus,38,Writing & Translation,Copywriting,3,0.0104166667
Cyprus,39,Writing & Translation,Other - Writing & Translation,2,0.0069444444
Cyprus,40,Administrative Support,Data Entry,11,0.0381944444
Cyprus,41,Administrative Support,Personal Assistant,9,0.03125
Cyprus,42,Administrative Support,Web Research,8,0.0277777778
Cyprus,46,Administrative Support,Other - Administrative Support,5,0.0173611111
Cyprus,47,Design & Multimedia,Graphic Design,7,0.0243055556
Cyprus,48,Design & Multimedia,Logo Design,10,0.0347222222
Cyprus,50,Design & Multimedia,Print Design,2,0.0069444444
Cyprus,53,Design & Multimedia,Audio Production,2,0.0069444444
Cyprus,54,Design & Multimedia,Video Production,7,0.0243055556
Cyprus,56,Design & Multimedia,Animation,1,0.0034722222
Cyprus,57,Design & Multimedia,Other - Design & Multimedia,1,0.0034722222
Cyprus,58,Writing & Translation,Translation,11,0.0381944444
Cyprus,61,Design & Multimedia,Engineering & Technical Design,1,0.0034722222
Cyprus,62,Writing & Translation,Creative Writing,3,0.0104166667
Cyprus,63,Administrative Support,Transcription,1,0.0034722222
Cyprus,64,Customer Service,Customer Service & Support,3,0.0104166667
Cyprus,71,Sales & Marketing,SMM - Social Media Marketing,2,0.0069444444
Cyprus,73,Sales & Marketing,Telemarketing & Telesales,3,0.0104166667
Cyprus,74,Sales & Marketing,Market Research & Surveys,4,0.0138888889
Cyprus,75,Sales & Marketing,Sales & Lead Generation,2,0.0069444444
Cyprus,76,Sales & Marketing,Other - Sales & Marketing,5,0.0173611111
Cyprus,82,Business Services,Project Management,6,0.0208333333
Cyprus,83,Business Services,Business Consulting,2,0.0069444444
Cyprus,85,Business Services,Statistical Analysis,3,0.0104166667
Cyprus,86,Business Services,Other - Business Services,6,0.0208333333
Cyprus,87,Customer Service,Order Processing,1,0.0034722222
Cyprus,88,Sales & Marketing,SEO - Search Engine Optimization,2,0.0069444444
Czech Republic,8,Web Development,Web Design,163,0.1080185553
Czech Republic,9,Web Development,Web Programming,276,0.1829025845
Czech Republic,11,Web Development,Ecommerce,5,0.0033134526
Czech Republic,13,Web Development,UI Design,16,0.0106030484
Czech Republic,15,Web Development,Website QA,15,0.0099403579
Czech Republic,16,Web Development,Website Project Management,11,0.0072895958
Czech Republic,17,Web Development,Other - Web Development,39,0.0258449304
Czech Republic,18,Software Development,Desktop Applications,31,0.0205434062
Czech Republic,19,Software Development,Client-Server Applications,1,0.0006626905
Czech Republic,20,Software Development,Game Development,9,0.0059642147
Czech Republic,21,Software Development,Scripts & Utilities,34,0.0225314778
Czech Republic,22,Software Development,Software Plug-ins,6,0.0039761431
Czech Republic,23,Software Development,Mobile Apps,10,0.0066269052
Czech Republic,24,Software Development,Application Interface Design,7,0.0046388337
Czech Republic,25,Software Development,Software Project Management,10,0.0066269052
Czech Republic,26,Software Development,Software QA,3,0.0019880716
Czech Republic,28,Software Development,Other - Software Development,64,0.0424121935
Czech Republic,29,Networking & Information Systems,Network Administration,38,0.0251822399
Czech Republic,30,Networking & Information Systems,Firewalls & Security,4,0.0026507621
Czech Republic,31,Networking & Information Systems,DBA - Database Administration,10,0.0066269052
Czech Republic,32,Networking & Information Systems,Server Administration,80,0.0530152419
Czech Republic,33,Networking & Information Systems,Other - Networking & Information Systems,18,0.0119284294
Czech Republic,34,Writing & Translation,Technical Writing,15,0.0099403579
Czech Republic,35,Writing & Translation,Website Content,46,0.0304837641
Czech Republic,37,Writing & Translation,Blog & Article Writing,39,0.0258449304
Czech Republic,38,Writing & Translation,Copywriting,7,0.0046388337
Czech Republic,39,Writing & Translation,Other - Writing & Translation,23,0.015241882
Czech Republic,40,Administrative Support,Data Entry,13,0.0086149768
Czech Republic,41,Administrative Support,Personal Assistant,7,0.0046388337
Czech Republic,42,Administrative Support,Web Research,60,0.0397614314
Czech Republic,43,Administrative Support,Email Response Handling,2,0.001325381
Czech Republic,46,Administrative Support,Other - Administrative Support,3,0.0019880716
Czech Republic,47,Design & Multimedia,Graphic Design,78,0.0516898608
Czech Republic,48,Design & Multimedia,Logo Design,20,0.0132538105
Czech Republic,49,Design & Multimedia,Illustration,4,0.0026507621
Czech Republic,50,Design & Multimedia,Print Design,5,0.0033134526
Czech Republic,51,Design & Multimedia,3D Modeling & CAD,8,0.0053015242
Czech Republic,53,Design & Multimedia,Audio Production,8,0.0053015242
Czech Republic,54,Design & Multimedia,Video Production,15,0.0099403579
Czech Republic,56,Design & Multimedia,Animation,3,0.0019880716
Czech Republic,57,Design & Multimedia,Other - Design & Multimedia,19,0.0125911199
Czech Republic,58,Writing & Translation,Translation,134,0.0888005302
Czech Republic,59,Networking & Information Systems,ERP / CRM Implementation,1,0.0006626905
Czech Republic,60,Design & Multimedia,Presentations,1,0.0006626905
Czech Republic,62,Writing & Translation,Creative Writing,7,0.0046388337
Czech Republic,63,Administrative Support,Transcription,1,0.0006626905
Czech Republic,64,Customer Service,Customer Service & Support,12,0.0079522863
Czech Republic,65,Customer Service,Technical Support,14,0.0092776673
Czech Republic,66,Customer Service,Phone Support,1,0.0006626905
Czech Republic,67,Customer Service,Other - Customer Service,6,0.0039761431
Czech Republic,68,Sales & Marketing,Advertising,9,0.0059642147
Czech Republic,69,Sales & Marketing,Email Marketing,6,0.0039761431
Czech Republic,70,Sales & Marketing,SEM - Search Engine Marketing,24,0.0159045726
Czech Republic,71,Sales & Marketing,SMM - Social Media Marketing,2,0.001325381
Czech Republic,73,Sales & Marketing,Telemarketing & Telesales,3,0.0019880716
Czech Republic,74,Sales & Marketing,Market Research & Surveys,9,0.0059642147
Czech Republic,75,Sales & Marketing,Sales & Lead Generation,4,0.0026507621
Czech Republic,76,Sales & Marketing,Other - Sales & Marketing,11,0.0072895958
Czech Republic,82,Business Services,Project Management,3,0.0019880716
Czech Republic,83,Business Services,Business Consulting,3,0.0019880716
Czech Republic,84,Business Services,Recruiting,2,0.001325381
Czech Republic,85,Business Services,Statistical Analysis,3,0.0019880716
Czech Republic,86,Business Services,Other - Business Services,7,0.0046388337
Czech Republic,87,Customer Service,Order Processing,3,0.0019880716
Czech Republic,88,Sales & Marketing,SEO - Search Engine Optimization,12,0.0079522863
Czech Republic,89,Sales & Marketing,Business Plans & Marketing Strategy,2,0.001325381
Denmark,8,Web Development,Web Design,48,0.0802675585
Denmark,9,Web Development,Web Programming,28,0.0468227425
Denmark,11,Web Development,Ecommerce,1,0.0016722408
Denmark,13,Web Development,UI Design,1,0.0016722408
Denmark,16,Web Development,Website Project Management,1,0.0016722408
Denmark,17,Web Development,Other - Web Development,4,0.0066889632
Denmark,18,Software Development,Desktop Applications,3,0.0050167224
Denmark,21,Software Development,Scripts & Utilities,1,0.0016722408
Denmark,22,Software Development,Software Plug-ins,1,0.0016722408
Denmark,23,Software Development,Mobile Apps,11,0.0183946488
Denmark,25,Software Development,Software Project Management,6,0.0100334448
Denmark,28,Software Development,Other - Software Development,15,0.025083612
Denmark,29,Networking & Information Systems,Network Administration,4,0.0066889632
Denmark,31,Networking & Information Systems,DBA - Database Administration,4,0.0066889632
Denmark,32,Networking & Information Systems,Server Administration,8,0.0133779264
Denmark,33,Networking & Information Systems,Other - Networking & Information Systems,11,0.0183946488
Denmark,34,Writing & Translation,Technical Writing,12,0.0200668896
Denmark,35,Writing & Translation,Website Content,31,0.0518394649
Denmark,37,Writing & Translation,Blog & Article Writing,64,0.1070234114
Denmark,38,Writing & Translation,Copywriting,20,0.0334448161
Denmark,39,Writing & Translation,Other - Writing & Translation,22,0.0367892977
Denmark,40,Administrative Support,Data Entry,7,0.0117056856
Denmark,41,Administrative Support,Personal Assistant,5,0.008361204
Denmark,42,Administrative Support,Web Research,15,0.025083612
Denmark,46,Administrative Support,Other - Administrative Support,8,0.0133779264
Denmark,47,Design & Multimedia,Graphic Design,31,0.0518394649
Denmark,48,Design & Multimedia,Logo Design,22,0.0367892977
Denmark,49,Design & Multimedia,Illustration,5,0.008361204
Denmark,50,Design & Multimedia,Print Design,3,0.0050167224
Denmark,51,Design & Multimedia,3D Modeling & CAD,1,0.0016722408
Denmark,53,Design & Multimedia,Audio Production,1,0.0016722408
Denmark,54,Design & Multimedia,Video Production,1,0.0016722408
Denmark,55,Design & Multimedia,Voice Talent,2,0.0033444816
Denmark,57,Design & Multimedia,Other - Design & Multimedia,7,0.0117056856
Denmark,58,Writing & Translation,Translation,138,0.2307692308
Denmark,62,Writing & Translation,Creative Writing,11,0.0183946488
Denmark,63,Administrative Support,Transcription,8,0.0133779264
Denmark,64,Customer Service,Customer Service & Support,4,0.0066889632
Denmark,65,Customer Service,Technical Support,2,0.0033444816
Denmark,66,Customer Service,Phone Support,1,0.0016722408
Denmark,67,Customer Service,Other - Customer Service,1,0.0016722408
Denmark,68,Sales & Marketing,Advertising,2,0.0033444816
Denmark,69,Sales & Marketing,Email Marketing,2,0.0033444816
Denmark,71,Sales & Marketing,SMM - Social Media Marketing,2,0.0033444816
Denmark,73,Sales & Marketing,Telemarketing & Telesales,1,0.0016722408
Denmark,75,Sales & Marketing,Sales & Lead Generation,2,0.0033444816
Denmark,76,Sales & Marketing,Other - Sales & Marketing,1,0.0016722408
Denmark,79,Business Services,Financial Services & Planning,1,0.0016722408
Denmark,82,Business Services,Project Management,2,0.0033444816
Denmark,83,Business Services,Business Consulting,1,0.0016722408
Denmark,84,Business Services,Recruiting,2,0.0033444816
Denmark,85,Business Services,Statistical Analysis,1,0.0016722408
Denmark,86,Business Services,Other - Business Services,4,0.0066889632
Denmark,87,Customer Service,Order Processing,3,0.0050167224
Denmark,88,Sales & Marketing,SEO - Search Engine Optimization,3,0.0050167224
Denmark,89,Sales & Marketing,Business Plans & Marketing Strategy,2,0.0033444816
Dominica,8,Web Development,Web Design,1,0.04
Dominica,9,Web Development,Web Programming,7,0.28
Dominica,11,Web Development,Ecommerce,2,0.08
Dominica,39,Writing & Translation,Other - Writing & Translation,1,0.04
Dominica,46,Administrative Support,Other - Administrative Support,4,0.16
Dominica,62,Writing & Translation,Creative Writing,1,0.04
Dominica,64,Customer Service,Customer Service & Support,2,0.08
Dominica,76,Sales & Marketing,Other - Sales & Marketing,4,0.16
Dominica,82,Business Services,Project Management,2,0.08
Dominica,84,Business Services,Recruiting,1,0.04
Dominican Republic,8,Web Development,Web Design,19,0.0375494071
Dominican Republic,9,Web Development,Web Programming,28,0.0553359684
Dominican Republic,11,Web Development,Ecommerce,1,0.0019762846
Dominican Republic,13,Web Development,UI Design,2,0.0039525692
